client_id,client_name,first_name,last_name,company_name,client_type,email,email_secondary,phone,phone_mobile,fax,address_line1,address_line2,city,state_province,postal_code,country,billing_address,created_on,modified_on,status,notes,credit_limit,payment_terms
CL-0001,Helen Moore,Helen,Moore,,,helen.moore@example.com,,337 841 7612,+1 274 902 1071,,7812 Oak Blvd,Suite 977,Denver,CO,95153,BR,,16/06/2023,09/12/2024,inactive,Legacy client record,35045.8,COD
CL-0002,"Anderson, Helen",Helen,Anderson,,individual,helen.anderson@example.com,,982.805.3881,+1 316 899 8934,,2666 Main Ave,,Indianapolis,IN,29834,BR,"2666 Main Ave, Indianapolis, IN 29834",07-11-2020,,active,Legacy client record,39770.16,COD
CL-0003,"Collins, William",William,Collins,,individual,william.collins@example.com,,400 862 6504,871-783-4355,,2669 Oak Blvd,,Oklahoma City,OK,18636,FR,,01 June 2019,"October 17, 2024",,,,COD
CL-0004,Automotive Parts Inc Corp,,,Automotive Parts Inc Corp,,,,532.815.3378,(861) 229-9722,,3510 Washington St,Suite 685,Albuquerque,NM,16962,Japan,,29-08-2023,09-27-2024,Active,,,
CL-0005,"Hall, Nancy",Nancy,Hall,,individual,nancy.hall@example.com,,609-428-5504,219 460 6829,,9199 Main Dr,Suite 740,Oklahoma City,OK,33689,France,"9199 Main Dr, Oklahoma City, OK 33689",07/01/2023,,Active,Legacy client record,,
CL-0006,"Lee, Karen",Karen,Lee,,person,karen.lee@example.com,,988-945-8427,+1 909 792 8148,,1349 Second St,,Oklahoma City,OK,79664,Germany,"1349 Second St, Oklahoma City, OK 79664",2023-06-22,,inactive,,43899.53,30 days
CL-0007,Ruth Jones,Ruth,Jones,,,,,344.204.2918,1-391-559-4229,,5887 Oak Dr,,Louisville,KY,60365,United States,,"November 04, 2018",10/04/23,Active,,39229.9,Net 30
CL-0008,DataDyne Inc,,,DataDyne Inc,corporation,legal@datadyneinc.com,,+1 233 477 7043,,,9563 Main Ave,,Las Vegas,NV,42373,IN,,09-03-2023,20-05-2024,suspended,,19849.95,COD
CL-0009,Chemical Corp,,,Chemical Corp,company,legal_at_chemicalcorp.com,,+1-674-708-5717,(308) 879-6100,889.574.5356,1235 Main St,Suite 147,Washington,DC,93706,US,,2018/02/03,,Active,Legacy client record,4365.8,
CL-0010,"Hernandez, Sandra",Sandra,Hernandez,,person,,,+1-755-241-8662,1-474-618-9392,,4963 Main Dr,,Denver,CO,52177,AU,"4963 Main Dr, Denver, CO 52177",25-02-2021,,Active,,5523.78,
CL-0011,InnovaSoft,,,InnovaSoft,,,,816-284-9248,1-638-552-6268,,8381 Main Blvd,,Baltimore,MD,90190,GB,"8381 Main Blvd, Baltimore, MD 90190",12-19-2021,"April 14, 2024",active,Legacy client record,29346.47,15 days
CL-0012,Automotive Parts Inc Corp,,,Automotive Parts Inc Corp,corporation,legal@automotivepartsinccorp.com,,+1-624-476-6388,,,7728 Park Blvd,,Baltimore,MD,79937,France,,16 October 2020,,suspended,,33846.25,
CL-0013,"Wilson, Dorothy",Dorothy,Wilson,,,dorothy.wilson@example.com,,+1 244 214 3807,+1 376 489 8084,,8270 Park Way,,Nashville,TN,88915,Japan,"8270 Park Way, Nashville, TN 88915",2021-10-13,01/30/2024,suspended,,25883.63,
CL-0014,Pharmaceuticals Inc Corp,,,Pharmaceuticals Inc Corp,company,legal@pharmaceuticalsinccorp.com,,+1-658-865-4353,,,1640 Oak St,Suite 222,Indianapolis,IN,40898,IN,"1640 Oak St, Indianapolis, IN 40898",05/01/2020,,inactive,Legacy client record,,COD
CL-0015,"White, Paul",Paul,White,,,paul.white@example.com,,821 483 1505,,,4301 Lincoln Blvd,,Nashville,TN,33052,AU,,,,Active,,12047.37,
CL-0016,TechnoLogic,,,TechnoLogic,corporation,legal@technologic.com,,904.637.6913,(918) 351-8874,,5454 Park Blvd,,Austin,TX,37681,AU,,07-30-2022,02/02/2024,inactive,,43640.84,COD
CL-0017,"Lewis, George",George,Lewis,,person,george.lewis@example.com,,1-782-490-1820,(926) 967-1866,,2588 Oak Blvd,,Washington,DC,57266,China,,08/12/18,,active,,33659.55,
CL-0018,"Campbell, Karen",Karen,Campbell,,individual,karen.campbell@example.com,,+1-717-916-9782,301-981-5134,,7024 Washington Way,,Nashville,TN,97434,United Kingdom,,02-18-2022,20/11/2023,ACTIVE,Legacy client record,22592.85,
CL-0019,DataGrid LLC,,,DataGrid LLC,company,legal@datagridllc.com,,701 905 4208,,,2755 Second St,,Boston,MA,66357,JP,,05-10-2018,04-16-2024,Active,,37967.02,COD
CL-0020,"Roberts, Donna",Donna,Roberts,,person,donna.roberts@example.com,,1-564-515-7948,+1-805-572-9294,,2813 Second St,,Washington,DC,62646,France,,02/27/19,2023-09-18,active,Legacy client record,22980.28,15 days
CL-0021,"Hernandez, Carol",Carol,Hernandez,,person,carol.hernandez@example.com,,+1-742-721-2245,992 564 1872,+1 516 788 3504,9285 Main Dr,,San Antonio,TX,92340,AU,"9285 Main Dr, San Antonio, TX 92340",06/22/2023,"January 21, 2023",,Legacy client record,,
CL-0022,Jessica Phillips,Jessica,Phillips,,individual,jessica.phillips@example.com,,213 886 2555,,,8468 Lincoln Blvd,,Milwaukee,WI,36593,Japan,"8468 Lincoln Blvd, Milwaukee, WI 36593",06/21/2023,01/28/23,active,Legacy client record,11712.62,30 days
CL-0023,"Roberts, Mary",Mary,Roberts,,individual,mary.roberts@example.com,,N/A,+1-315-272-5039,,9394 Lincoln St,,Washington,DC,17345,BR,,2019/07/04,TBD,active,,43904.36,COD
CL-0024,"Gomez, Donna",Donna,Gomez,,individual,donna.gomez@example.com,,+1-409-859-9399,+1-766-297-4551,,7766 Second Way,,Austin,TX,23538,Canada,,05/08/19,,ACTIVE,,,30 days
CL-0025,"Rivera, Deborah",Deborah,Rivera,,person,deborah.rivera@example.com,,+1 403 808 2935,,,7396 Park Way,,Nashville,TN,13890,US,,08 January 2022,,active,Legacy client record,4318.48,Net 30
CL-0026,"Morales, Nancy",Nancy,Morales,,,nancy.morales@example.com,,464.909.6568,+1-952-779-3983,,174 Park St,,Washington,DC,44474,Brazil,"174 Park St, Washington, DC 44474",27/06/21,,inactive,,15634.54,30 days
CL-0027,"Ramirez, Paul",Paul,Ramirez,,person,paul.ramirez@example.com,,1-597-445-9977,676-281-1222,,5274 Washington Ave,,Detroit,MI,10870,India,"5274 Washington Ave, Detroit, MI 10870",29/05/23,03/19/2024,,,,30 days
CL-0028,"King, Ryan",Ryan,King,,person,ryan.king@example.com,,+1-320-446-1462,1-539-869-9229,,5080 Main Ave,,Dallas,TX,19168,United States,,18-05-2019,11/01/2024,,,36227.32,
CL-0029,"Collins, Karen",Karen,Collins,,,karen.collins@example.com,,+1 992 325 7619,,1-913-517-8097,6194 Second Blvd,Suite 518,Austin,TX,57465,China,,20 July 2018,14/12/2023,Active,,5739.55,Net 30
CL-0030,"Taylor, John",John,Taylor,,person,john.taylor@example.com,,(850) 919-1248,1-926-992-8485,,2575 Park Ave,,Charlotte,NC,70618,Japan,,"May 27, 2019","June 06, 2024",,Legacy client record,39852.18,COD
CL-0031,Joseph Collins,Joseph,Collins,,,joseph.collins@example.com,,1-707-700-9663,291-482-1566,,9307 Park Blvd,Suite 747,Los Angeles,CA,89782,Canada,"9307 Park Blvd, Los Angeles, CA 89782",2021-11-22,,suspended,,36724.92,Net 30
CL-0032,"Robinson, Charles",Charles,Robinson,,person,charles.robinson@example.com,,+1 389 638 7394,,,2273 Washington St,,Boston,MA,73474,DE,"2273 Washington St, Boston, MA 73474",10-04-2020,12-13-2024,suspended,,1499.65,
CL-0033,"Phillips, Mary",Mary,Phillips,,individual,mary.phillips@example.com,,400-202-1547,+1-428-572-5845,,4805 First St,Suite 101,Louisville,KY,76073,Germany,,16/08/23,,,,23434.71,Net 30
CL-0034,"Morales, Sarah",Sarah,Morales,,person,sarah.morales@example.com,,781.394.3634,1-697-361-3747,(833) 439-8933,7162 First St,,Philadelphia,PA,25376,China,,10-31-2018,,ACTIVE,,32523.63,
CL-0035,InnovaSoft,,,InnovaSoft,company,legal@innovasoft.com,,1-315-457-4943,,,3019 Lincoln Way,,Oklahoma City,OK,79880,China,,26 June 2019,,,,,15 days
CL-0036,"Jones, Donald",Donald,Jones,,individual,donald.jones@example.com,,689-695-2290,1-775-356-4638,,1627 Washington St,,Baltimore,MD,17080,AU,"1627 Washington St, Baltimore, MD 17080",29 June 2019,03-07-2024,suspended,,22498.29,
CL-0037,Carol Anderson,Carol,Anderson,,,carol.anderson@example.com,,661 530 4792,,,4204 Oak Dr,Suite 894,Detroit,MI,21367,United States,"4204 Oak Dr, Detroit, MI 21367","March 18, 2020",,ACTIVE,,25871.5,15 days
CL-0038,SmartSystems,,,SmartSystems,company,legal@smartsystems.com,,1-993-394-4171,+1-272-545-7319,,5400 Washington Blvd,Suite 121,Jacksonville,FL,98892,UK,"5400 Washington Blvd, Jacksonville, FL 98892",26/04/2018,,ACTIVE,Legacy client record,8350.07,Net 30
CL-0039,"Campbell, Sandra",Sandra,Campbell,,individual,sandra.campbell@example.com,,1-246-386-8140,1-736-551-3291,,5358 Oak Ave,,Washington,DC,94312,CA,"5358 Oak Ave, Washington, DC 94312",11-24-2020,18 February 2024,active,Legacy client record,,
CL-0040,"Nguyen, Carol",Carol,Nguyen,,,carol.nguyen@example.com,,1-968-983-2459,1-907-266-2129,,5237 Washington Way,,El Paso,TX,80758,BR,,12/10/22,13-09-2023,active,Legacy client record,15510.0,
CL-0041,InfoSys,,,InfoSys,,legal@infosys.com,,715-627-6322,,+1-425-876-5324,3868 Washington Blvd,Suite 561,Oklahoma City,OK,43800,FR,,2023-11-05,02-08-2023,inactive,,,COD
CL-0042,TechWorld,,,TechWorld,corporation,legal@techworld.com,,Unknown,738 337 7251,,5313 Oak St,,Portland,OR,98354,USA,,01-09-2020,2023/05/25,,Legacy client record,33900.23,15 days
CL-0043,SmartSystems,,,SmartSystems,company,legal@smartsystems.com,,(533) 677-6369,,,8880 First Ave,Suite 942,Chicago,IL,30517,UK,,2019/09/13,2024/03/24,suspended,Legacy client record,,
CL-0044,"Johnson, Helen",Helen,Johnson,,,helen.johnson@example.com,,(329) 341-5471,,+1-549-468-2395,437 Second Dr,Suite 860,Houston,TX,54633,CN,,2018/02/28,12-10-2024,ACTIVE,Legacy client record,17064.27,Net 30
CL-0045,"Allen, Robert",Robert,Allen,,person,robert.allen@example.com,,Unknown,673-354-9657,,5365 Oak Ave,,Memphis,TN,69307,US,"5365 Oak Ave, Memphis, TN 69307",17/12/2022,,Active,,,COD
CL-0046,SystemFlow Ltd,,,SystemFlow Ltd,company,,,000-000-0000,,,8028 Lincoln Dr,,Boston,MA,14751,BR,,Unknown,09/01/2023,inactive,,,COD
CL-0047,"Cruz, Joshua",Joshua,Cruz,,person,joshua.cruz@example.com,,868-602-4642,,,5271 Park Way,,Jacksonville,FL,62208,DE,,25/12/2020,08-03-2024,suspended,Legacy client record,48809.1,30 days
CL-0048,"Collins, Thomas",Thomas,Collins,,person,thomas.collins@example.com,,+1 371 619 7564,,,2270 Oak Dr,,Milwaukee,WI,73182,BR,"2270 Oak Dr, Milwaukee, WI 73182",11 January 2021,13 April 2024,,,,
CL-0049,"Anderson, Steven",Steven,Anderson,,person,steven.anderson@example.com,,540 761 3926,746 398 5481,,2961 Second St,,San Antonio,TX,58035,Germany,,19/07/2022,27/08/2024,active,,49682.3,
CL-0050,"Robinson, Susan",Susan,Robinson,,,,,261 951 5462,,,7674 Main Blvd,,El Paso,TX,45902,GB,,07/01/2020,29/12/23,Active,Legacy client record,,Net 30
CL-0051,"Gomez, Donna",Donna,Gomez,,,donna.gomez@example.com,,+1 485 971 8589,1-434-339-8445,,2496 Washington Way,,Milwaukee,WI,74062,US,,20/04/2021,15-06-2023,inactive,,12085.35,
CL-0052,Deborah Hernandez,Deborah,Hernandez,,person,deborah.hernandez@example.com,,+1-913-202-6876,,,5010 Main St,,Albuquerque,NM,22182,Australia,"5010 Main St, Albuquerque, NM 22182",2021/01/10,,inactive,,,
CL-0053,Joshua Phillips,Joshua,Phillips,,,joshua.phillips@example.com,,,,258.566.9749,2033 Washington Way,,San Francisco,CA,59229,Brazil,,TBD,,suspended,,26638.5,15 days
CL-0054,"Reyes, Lisa",Lisa,Reyes,,person,lisa.reyes@example.com,,1-203-958-3562,,,9948 Washington St,Suite 265,Philadelphia,PA,66722,CA,,12/02/2021,2023/08/16,active,,42744.43,COD
CL-0055,"Edwards, David",David,Edwards,,individual,david.edwards@example.com,,(447) 554-1075,920-221-8532,,9771 Washington Dr,,Jacksonville,FL,74633,GB,,21/07/2023,,ACTIVE,,16777.8,Net 30
